ChEMBL ID;Name;Synonyms;Type;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;CX Acidic pKa;CX Basic pKa;CX LogP;Aromatic Rings;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Molecular Formula;Smiles;Inchi Key
CHEMBL1200402;AMLODIPINE BESYLATE;AMLODIPINE (AS BESILATE)|AMLODIPINE BENZENESULFONATE|AMLODIPINE BESILATE|AMLODIPINE BESYLATE|AMLOR|ANTACAL|LODIPRESSIN|MONOPINA|NORLIQVA|NSC-758922|Norvasc|UK-48,340-26|UK-48340-26;Small molecule;567.06;15;38;2.27;99.88;7;2;0;8;;9.45;1.64;1;28;7;3;0;4.081.452;C26H31ClN2O8S;CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1;ZPBWCRDSRKPIDG-UHFFFAOYSA-N
CHEMBL1201011;QUINAPRIL HYDROCHLORIDE;ACCUPRO|Accupril|CI 906|CI-906|NSC-758222|QUINAPRIL HCL|QUINAPRIL HYDROCHLORIDE|QUINIL;Small molecule;474.99;14;22;2.57;95.94;5;2;0;9;3.70;5.20;1.96;2;32;7;2;0;4.382.155;C25H31ClN2O5;CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O.Cl;IBBLRJGOOANPTQ-JKVLGAQCSA-N
CHEMBL1201020;DISOPYRAMIDE PHOSPHATE;DIRYTHMIN|DIRYTHMIN SA|DIRYTHMIN-SA|DISO-DURILES|DISOPYRAMIDE PHOSPHATE|ISOMIDE CR|NORPACE CR|NSC-756744|Norpace|RYTHMODAN|RYTHMODAN RET|SC-13957|SC-7031 PHOSPHATE;Small molecule;437.48;22;32;3.36;59.22;3;1;0;8;;10.42;3.47;2;25;4;2;0;3.392.311;C21H32N3O5P;CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C.O=P(O)(O)O;CGDDQFMPGMYYQP-UHFFFAOYSA-N
CHEMBL1200977;MILRINONE LACTATE;MILRINONE LACTATE|Milrinone lactate|PRIMACOR;Small molecule;301.30;;;1.62;69.54;3;1;0;1;7.54;4.82;0.33;2;16;4;1;0;2.110.746;C15H15N3O4;CC(O)C(=O)O.Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1;VWUPWEAFIOQCGF-UHFFFAOYSA-N
CHEMBL4594217;CANAGLIFLOZIN;CANAGLIFLOZIN|CANAGLIFLOZIN HEMIHYDRATE|CANAGLIFLOZIN HYDRATE|INVOKANA|JNJ-24831754-ZAE|JNJ-28431754|JNJ-28431754-AAA|TA-7284;Small molecule;462.54;;;2.97;90.15;6;4;0;5;12.57;;3.52;3;31;5;4;0;4.441.407;C24H27FO6S;Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O;RCCZPUWDQVUJAB-FVYJGOGTSA-N
CHEMBL843;ROSIGLITAZONE MALEATE;Avandia|BRL-49653|BRL-49653-C|BRL-49653C|NSC-717764|ROSIGLITAZONE MALEATE|ROSIGLITZAZONE MALEATE;Small molecule;473.51;24;1412;2.49;71.53;6;1;0;7;6.84;6.23;2.45;2;25;6;1;0;3.571.147;C22H23N3O7S;CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O;SUFUKZSWUHZXAV-BTJKTKAUSA-N
CHEMBL1697;DILTIAZEM HYDROCHLORIDE;ADIZEM|ADIZEM-60|ADIZEM-SR|ADIZEM-XL|ALTIAZEM|ANGIOZEM 60|ANGIOZEM CR 120|ANGIOZEM CR 90|ANGITIL SR 120|ANGITIL SR 180|ANGITIL SR 90|ANGITIL XL 240|ANGITIL XL 300|ANOHEAL|BI-CARZEM SR|BI-CARZEM XL|BRITIAZIM|CALAZEM|CALCICARD|CALCICARD CR|CARDIZEM CD|CARDIZEM LA|CARDIZEM SR|CARTIA|CARTIA XT|CRD-401|Cardizem|DELTAZEN|DILACOR XR|DILADEL|DILCARDIA SR|DILCARDIA XL|DILPRAL|DILRENE|DILT-CD|DILTIAZEM HCL|DILTIAZEM HYDROCHLORIDE|DILTIAZEM HYDROCHLORIDE IN DEXTROSE 5%|DILTZAC|DILZEM|DILZEM SR 120|DILZEM SR 60|DILZEM SR 90|DILZEM XL 120|DILZEM XL 180|DILZEM XL 240|DILZENE|DISOGRAM SR|Dilacor|HORIZEM SR 120|HORIZEM SR 60|HORIZEM SR 90|KENTIAZEM|KENZEM SR|MASDIL|NSC-759576|OPTIL|OPTIL SR 120|OPTIL SR 180|OPTIL SR 90|OPTIL XL 240|OPTIL XL 300|RETALZEM 60|RG 83606|RG-83606|SLOZEM|SLOZEM 120|SLOZEM 180|SLOZEM 240|TAZTIA|TAZTIA XT|TIAMEX|TILDIEM|TILDIEM LA 200|TILDIEM LA 300|TILDIEM RET 120|TILDIEM RET 90|Tiazac|UARD 120XL|UARD 180XL|UARD 240XL|UARD 300XL|VIAZEM XL|ZEMRET 180 XL|ZEMRET 240 XL|ZEMRET 300 XL|ZEMTARD 120 XL|ZEMTARD 180 XL|ZEMTARD 240 XL|ZEMTARD 300 XL|ZILDEN|ZILDIL SR;Small molecule;450.99;33;70;3.37;59.08;6;0;0;6;12.86;8.18;2.73;2;29;6;0;0;4.141.613;C22H27ClN2O4S;COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl;HDRXZJPWHTXQRI-BHDTVMLSSA-N
CHEMBL2103802;DAPAGLIFLOZIN PROPYLENE GLYCOL;BMS-512148-05|DAPAGLIFLOZIN|DAPAGLIFLOZIN PROPANEDIOL|DAPAGLIFLOZIN PROPYLENE GLYCOL|FARXIGA;Small molecule;502.99;;;1.84;99.38;6;4;0;6;12.57;;2.11;2;28;6;4;0;4.081.340;C24H35ClO9;CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1.C[C@H](O)CO.O;GOADIQFWSVMMRJ-UPGAGZFNSA-N
CHEMBL136478;SODIUM NITROPRUSSIDE;NIPRIDE|NIPRUSS|NITROPRUSSIDE SODIUM|NSC-755844|Nitropress|SODIUM NITROFERRICYANIDE|SODIUM NITROPRUSSIDE|SODIUM NITROPRUSSIDE ANHYDROUS|SODIUM NITROPRUSSIDE DIHYDRATE|SODIUM NITROPRUSSIDE HYDRATE;Small molecule;261.92;111;630;;;;;;;;;;;;;;;2.159.494;C5FeN6Na2O;;
CHEMBL1200692;OLMESARTAN MEDOXOMIL;Benicar|CS-866|NSC-758924|OLMESARTAN MEDOXOMIL|OLMETEC;Small molecule;558.60;32;125;4.17;162.16;11;2;2;10;4.25;3.63;4.54;5;41;12;2;2;5.582.227;C29H30N6O6;CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1;UQGKUQLKSCSZGY-UHFFFAOYSA-N
CHEMBL2051955;LEVOSIMENDAN;(-)-OR-1259|(R)-SIMENDAN|LEVOSIMENDAN|NSC-759644|OR-1259|SIMENDAN, (R)-|Simdax;Small molecule;280.29;10;37;1.36;113.43;6;2;0;3;5.77;2.24;2.16;1;21;7;2;0;2.801.073;C14H12N6O;C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1;WHXMKTBCFHIYNQ-SECBINFHSA-N
CHEMBL2109172;DIGITALIS;DIGITALIS|DIGITALIS LEAF|DIGITALIS LEAVES|DIGITALIS PURPUREA|DIGITALIS PURPUREA LEAF|DIGITALIS PURPUREA LEAF EXTRACT|DIGITALIS PURPUREA WHOLE|DIGITALIS, POWDERED|DIGITALIS,POWDERED|Digifortis|Digiglusin|FOXGLOVE LEAF|FOXGLOVE WHOLE|MAO DI HUANG LEAF|MAO DI HUANG WHOLE|PURPLE FOXGLOVE LEAF|PURPLE FOXGLOVE WHOLE;Small molecule;;;;;;;;;;;;;;;;;;;;;
CHEMBL2093999;ISTAROXIME;(E,Z)-Istaroxime|ISTAROXIME|PST-2744;Small molecule;360.50;3;8;3.11;81.75;5;1;0;3;;8.66;2.64;0;26;5;2;0;3.602.413;C21H32N2O3;C[C@]12CCC(=NOCCN)C[C@@H]1C(=O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12;MPYLDWFDPHRTEG-IFVNMTGRSA-N
CHEMBL1201593;ALTEPLASE;ACTILYSE|ACTILYSE CATHFLO|ALTEPLASE|ALTEPLASE (GENETICAL RECOMBINATION)|ALTEPLASE FOR INJECTION|ALTEPLASE, RECOMBINANT|ALTEPLASE,RECOMBINANT|Activase|CATHFLO ACTIVASE|EC 3.4.21.68|RT-PA|TISSUE PLASMINOGEN ACTIVATOR ALTEPLASE;Enzyme;;2;19;;;;;;;;;;;;;;;;;;
